zip_code,neighborhood,property_type,room_type,accommodates,bedrooms,beds,minimum_nights,rating,price,longitude,latitude,total_reviews,availability_365
78703,Clarksville,Entire rental unit,Entire home/apt,4,1,2,2,5.0,265,-97.7559,30.27482,19,142
78759,Barrington Oaks,Entire home,Entire home/apt,10,5,5,2,4.29,437,-97.77768,30.43056,7,0
78724,Colony Park,Private room in home,Private room,3,1,1,1,4.93,67,-97.58401,30.25729,0,363
78724,Colony Park,Private room in home,Private room,1,1,1,1,4.4,58,-97.58454,30.2585,5,363
78724,Colony Park,Private room in home,Private room,1,3,1,2,4.75,57,-97.5842,30.25679,12,363
78724,Colony Park,Private room in home,Private room,1,1,1,1,5.0,56,-97.58379,30.25856,10,364
78704,Galindo,Entire townhouse,Entire home/apt,6,3,3,3,5.0,650,-97.76353,30.23806,4,306
78722,Cherrywood,Entire guesthouse,Entire home/apt,4,1,2,2,5.0,112,-97.72022,30.2918,7,0
78753,Georgian Acres,Entire rental unit,Entire home/apt,4,2,2,2,5.0,221,-97.69592,30.34665,4,188
78704,South Lamar,Entire home,Entire home/apt,6,2,5,3,5.0,535,-97.77234,30.24463,7,268
78723,Mueller,Entire home,Entire home/apt,4,2,2,2,4.63,195,-97.69804,30.29839,8,335
78732,Comanche Trail,Entire home,Entire home/apt,10,6,7,2,4.93,672,-97.88723,30.41576,0,316
78732,Comanche Trail,Entire home,Entire home/apt,5,2,4,1,5.0,218,-97.89016,30.41675,33,325
78734,La Hacienda Estates,Entire cabin,Entire home/apt,6,2,3,3,5.0,213,-97.9305,30.41564,38,154
78753,Four Seasons Summer Section,Entire home,Entire home/apt,8,4,5,2,5.0,314,-97.66313,30.37839,12,193
78733,Rob Roy On The Lake,Entire guest suite,Entire home/apt,4,1,2,1,5.0,249,-97.84197,30.31283,8,347
78745,South Austin,Entire home,Entire home/apt,10,4,7,3,5.0,407,-97.81186,30.203,15,325
78701,Rainey Street Historic District,Entire condo,Entire home/apt,10,2,7,1,4.87,703,-97.74051,30.26115,15,304
78744,Southeast Austin,Private room in home,Private room,1,1,1,2,5.0,80,-97.74782,30.20039,3,362
78727,Woods Of Century Park,Entire rental unit,Entire home/apt,2,1,1,1,5.0,159,-97.6964,30.43302,1,364
78744,McKinney,Shared room in rental unit,Shared room,2,1,1,1,4.93,133,-97.772865,30.180872,0,179
78704,Zilker,Private room in guest suite,Private room,5,1,2,1,4.33,98,-97.76103,30.25951,6,320
78704,Zilker,Private room in guest suite,Private room,5,1,2,1,5.0,95,-97.76027,30.25955,3,299
78704,Zilker,Entire guest suite,Entire home/apt,9,2,3,1,5.0,357,-97.75946,30.25954,1,283
78704,Zilker,Entire condo,Entire home/apt,10,2,3,1,4.67,227,-97.76452,30.25805,6,0
78758,Gracywoods,Entire home,Entire home/apt,6,4,4,1,5.0,379,-97.69498,30.40108,8,0
78741,East Riverside - Oltorf,Entire rental unit,Entire home/apt,3,1,1,1,4.93,156,-97.72332,30.233553,0,173
78741,Bouldin Creek,Entire home,Entire home/apt,6,2,6,3,4.89,183,-97.69218,30.24142,45,122
78704,Bouldin Creek,Entire home,Entire home/apt,4,2,2,14,4.93,154,-97.75515,30.25076,0,21
78745,South Austin,Entire home,Entire home/apt,4,2,2,2,5.0,172,-97.78398,30.21925,11,31
78734,Apache Shores,Entire villa,Entire home/apt,10,4,6,2,5.0,400,-97.921814,30.386154,8,164
78758,North Austin Civic Association,Entire home,Entire home/apt,8,3,8,1,4.82,248,-97.70446,30.38151,17,358
78754,Stirling Bridge,Entire home,Entire home/apt,6,3,4,7,5.0,141,-97.61692,30.359201,3,154
78724,Las Cimas,Entire home,Entire home/apt,6,3,3,29,5.0,200,-97.65718,30.31443,2,285
78704,Greater South River City,Entire rental unit,Entire home/apt,2,1,1,2,4.64,231,-97.74754,30.25098,14,17
78734,Lakeway,Entire home,Entire home/apt,6,3,4,2,5.0,550,-97.90971,30.405,3,170
78751,North Loop,Entire vacation home,Entire home/apt,3,1,1,2,5.0,136,-97.71735,30.313795,26,344
78722,Clarksville,Entire home,Entire home/apt,3,3,2,60,4.93,300,-97.7142,30.289865,0,153
78703,Clarksville,Entire condo,Entire home/apt,2,1,1,3,4.33,235,-97.75687,30.27239,6,76
78701,Downtown Austin,Entire rental unit,Entire home/apt,4,1,2,3,5.0,249,-97.74754,30.271656,5,61
78702,Chestnut,Entire villa,Entire home/apt,4,2,2,1,4.93,214,-97.70324,30.27782,29,96
78741,East Riverside - Oltorf,Entire home,Entire home/apt,6,3,4,3,4.93,350,-97.73477,30.23965,0,20
78754,Pioneer Hill,Private room in home,Private room,2,3,2,1,4.0,84,-97.65878,30.3483,1,89
78727,Milwood,Entire rental unit,Entire home/apt,2,1,1,1,4.93,1245,-97.74497,30.44184,0,365
78704,Bouldin Creek,Entire home,Entire home/apt,12,4,7,3,4.83,1076,-97.7621,30.24542,6,324
78746,West Lake Hills,Entire home,Entire home/apt,8,3,4,2,5.0,362,-97.79079,30.278898,8,296
78753,North Lamar,Entire guesthouse,Entire home/apt,2,1,1,3,4.96,91,-97.68789,30.36659,24,80
78753,North Lamar,Entire home,Entire home/apt,6,3,3,3,4.93,118,-97.68958,30.36511,14,83
78741,East Riverside - Oltorf,Entire rental unit,Entire home/apt,4,2,2,2,4.5,84,-97.72347,30.23942,10,111
78741,East Riverside - Oltorf,Entire rental unit,Entire home/apt,2,1,1,1,1.0,98,-97.72677,30.228764,1,72
78741,East Riverside - Oltorf,Entire condo,Entire home/apt,2,1,1,1,4.93,119,-97.73021,30.22691,0,89
78741,East Riverside - Oltorf,Entire condo,Entire home/apt,2,1,1,1,2.0,119,-97.726395,30.229351,1,83
78741,East Riverside - Oltorf,Entire condo,Entire home/apt,2,1,1,1,4.93,118,-97.730255,30.227753,0,69
